"painted by","",""
"prime minister","",""
"parent organisation","leaders",""
"municipality","",""
"succeed","monarch",""
"designer","born",""
"","",""
"@@@","",""
"former coach","",""
"chaired","grounds",""
"battle","@@@",""
"operator","",""
"","",""
"","",""
"destinations","",""
"","",""
"part of","",""
"held in","kind of",""
"penned","",""
"city","",""
"county","",""
"headquartered","headed",""
"executive producer","",""
"services","",""
"work for","development",""
"style of architecture","",""
"originate","",""
"discovered","",""
"previous work","producer",""
"voice","",""
"associated","associated",""
"citizenship","citizenship",""
"person that first ascented","",""
"campuses","",""
"Where","",""
"composer","subsequent work",""
"boards","boards",""
"born","",""
"war","war",""
"order","things",""
"associated","made",""
"mater alma","",""
"headquartered","leaders",""
"hometown","religions",""
"originate","",""
"commander","commander",""
"leader","",""
"fought","wars",""
"born","",""
"trained","",""
"party","religions",""
"employer","employer",""
"living in","@@@",""
"recorded","",""
"manager","",""
"executive producer","awards",""
"stadium","youth club",""
"kingdom","families",""
"Count","purposes",""
"","",""
"manage a club","",""
"layout","layout",""
"zone time","",""
"mater alma","mater alma",""
"speaking","start",""
"currency","currency",""
"","",""
"guest","",""
"find","nations",""
"platform","distributed",""
"largest city","",""
"","",""
"PM","",""
"in","sports",""
"mayor","",""
"league","nation",""
"on","one",""
"sports","sports",""
"school","common",""
"","",""
"from","countries",""
"garrison","structure command",""
"made by","",""
"@@@","@@@",""
"associated","",""
"","",""
"","",""
"","",""
"major shrine","",""
"","",""
"","",""
"","",""
"commanders","battles",""
"cities","",""
"","",""
"","",""
"","",""
"nominee","",""
"","",""
"","",""
"","",""
"","",""
"border","",""
"division","company",""
"subsequent work","musical band",""
"authors","influenced by",""
"county","largest city",""
"associate band","associate band",""
"album","performer",""
"","",""
"","",""
"","",""
"","",""
"","",""
"governing body","leader name",""
"major shrine","",""
"actor","",""
"series","",""
"","",""
"country","country",""
"","",""
"","",""
"","",""
"death place","",""
"junction","",""
"product","key person",""
"buried in","",""
"route junction","",""
"executive producer","person",""
"sister station","",""
"","",""
"presented","",""
"awards","awards",""
"","",""
"","",""
"","",""
"","",""
"known for","",""
"","",""
"district","",""
"religious affiliation","",""
"characters","characters",""
"domain","",""
"","",""
"","",""
"","",""
"language","language",""
"","",""
"","",""
"carry","maintainer",""
"","",""
"residence","",""
"","",""
"nearest city","",""
"","",""
"screenplay","",""
"awarded","",""
"opponent","",""
"","",""
"publisher","founded by",""
"network","related",""
"related","life stance",""
"founded by","",""
"river","river",""
"name","name",""
"awards","awards",""
"industry","",""
"field","field",""
"lieutenant","lieutenant",""
"","",""
"presided","sport",""
"","",""
"","",""
"","",""
"","",""
"","",""
"founded","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"own","",""
"other party","other party",""
"garrison","",""
"co-founder","co-founder",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"coach","",""
"main ingredient","",""
"tenant","military branch",""
"destinations","destinations",""
"born in","",""
"","",""
"cinematographer","",""
"board","",""
"","",""
"","",""
"ingredient","",""
"","",""
"performer","",""
