qid,qsparql_query,sparql_answers/0,sparql_answers/1,sparql_answers/2,sparql_answers/3,sparql_answers/4,sparql_answers/5,sparql_answers/6,sparql_answers/7,sparql_answers/8,sparql_answers/9,sparql_answers/10,sparql_answers/11,sparql_answers/12,sparql_answers/13,sparql_answers/14,sparql_answers/15,sparql_answers/16,sparql_answers/17,sparql_answers/18,sparql_answers/19,sparql_answers/20,sparql_answers/21,sparql_answers/22,sparql_answers/23,sparql_answers/24,sparql_answers/25,sparql_answers/26,sparql_answers/27,sparql_answers/28,sparql_answers/29,sparql_answers/30,sparql_answers/31,sparql_answers/32,sparql_answers/33,sparql_answers/34,sparql_answers/35,sparql_answers/36,sparql_answers/37,sparql_answers/38,sparql_answers/39,sparql_answers/40,sparql_answers/41,sparql_answers/42,sparql_answers/43,sparql_answers/44,sparql_answers/45,sparql_answers/46,sparql_answers/47,sparql_answers/48,sparql_answers/49,sparql_answers/50,sparql_answers/51,sparql_answers/52,sparql_answers/53,sparql_answers/54,sparql_answers/55,sparql_answers/56,sparql_answers/57,sparql_answers/58,sparql_answers/59,sparql_answers/60,sparql_answers/61,sparql_answers/62,sparql_answers/63,sparql_answers/64,sparql_answers/65,sparql_answers/66,sparql_answers/67,sparql_answers/68,sparql_answers/69,sparql_answers/70,sparql_answers/71,sparql_answers/72,sparql_answers/73,sparql_answers/74,sparql_answers/75,sparql_answers/76,sparql_answers/77,sparql_answers/78,sparql_answers/79,sparql_answers/80,sparql_answers/81,sparql_answers/82,sparql_answers/83,sparql_answers/84
15000,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> . ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Russia> . ?uri <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Soviet_Union> . ?uri <https://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15001,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry> ?uri },http://dbpedia.org/resource/India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15001,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/ontology/sourceCountry> ?uri },http://dbpedia.org/resource/India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15004,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?uri },http://dbpedia.org/resource/Lyndon_B._Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15004,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?uri },http://dbpedia.org/resource/Lyndon_B._Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15005,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/leader> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15005,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/leader> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15006,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE{ <http://dbpedia.org/resource/VU_University_Amsterdam> <http://dbpedia.org/ontology/numberOfStudents> ?v1. },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15011,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> . ?uri <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> . },http://dbpedia.org/resource/Brad_Turner_(musician),http://dbpedia.org/resource/Jack_Jackson_(British_radio),http://dbpedia.org/resource/Jimmy_Vivino,http://dbpedia.org/resource/Jimmy_Dorsey,http://dbpedia.org/resource/Erskine_Hawkins,http://dbpedia.org/resource/Don_Albert,http://dbpedia.org/resource/Alan_Silva,http://dbpedia.org/resource/Louis_Prima,http://dbpedia.org/resource/Abatte_Barihun,http://dbpedia.org/resource/Bobby_Hackett,http://dbpedia.org/resource/Billie_Rogers,http://dbpedia.org/resource/Theodore_Carpenter,http://dbpedia.org/resource/Charlie_Spivak,http://dbpedia.org/resource/Marlon_Jordan,http://dbpedia.org/resource/Neil_Yates,http://dbpedia.org/resource/Terumasa_Hino,http://dbpedia.org/resource/Ollie_Mitchell,http://dbpedia.org/resource/Gerard_Presencer,http://dbpedia.org/resource/Guy_Barker,http://dbpedia.org/resource/Papa_Celestin,http://dbpedia.org/resource/Clifford_Thornton,http://dbpedia.org/resource/Maynard_Ferguson,http://dbpedia.org/resource/Orbert_Davis,http://dbpedia.org/resource/Wingy_Manone,http://dbpedia.org/resource/Doc_Severinsen,http://dbpedia.org/resource/Willie_Mitchell_(musician),http://dbpedia.org/resource/Cleveland_Eaton,http://dbpedia.org/resource/Gerald_Wilson,http://dbpedia.org/resource/Lloyd_Hunter,http://dbpedia.org/resource/Mark_Masters_(musician),http://dbpedia.org/resource/Pacho_Galan,http://dbpedia.org/resource/Artie_Fields,http://dbpedia.org/resource/Hot_Lips_Page,http://dbpedia.org/resource/Wayne_Bergeron,"http://dbpedia.org/resource/Richard_Maltby,_Sr.",http://dbpedia.org/resource/Doc_Cheatham,http://dbpedia.org/resource/Ernest_%22Doc%22_Paulin,http://dbpedia.org/resource/Joe_Wilder,http://dbpedia.org/resource/Red_Perkins,http://dbpedia.org/resource/Pete_Brown_(jazz_musician),http://dbpedia.org/resource/Henry_Jerome,http://dbpedia.org/resource/Adam_Taubitz,http://dbpedia.org/resource/Ovie_Alston,http://dbpedia.org/resource/Sean_Jones_(trumpeter),http://dbpedia.org/resource/Jacobo_Rubalcaba,http://dbpedia.org/resource/Danny_Davis_(country_musician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15011,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Bandleader> . ?uri <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Trumpet> . },http://dbpedia.org/resource/Brad_Turner_(musician),http://dbpedia.org/resource/Jack_Jackson_(British_radio),http://dbpedia.org/resource/Jimmy_Vivino,http://dbpedia.org/resource/Jimmy_Dorsey,http://dbpedia.org/resource/Erskine_Hawkins,http://dbpedia.org/resource/Don_Albert,http://dbpedia.org/resource/Alan_Silva,http://dbpedia.org/resource/Louis_Prima,http://dbpedia.org/resource/Abatte_Barihun,http://dbpedia.org/resource/Bobby_Hackett,http://dbpedia.org/resource/Billie_Rogers,http://dbpedia.org/resource/Theodore_Carpenter,http://dbpedia.org/resource/Charlie_Spivak,http://dbpedia.org/resource/Marlon_Jordan,http://dbpedia.org/resource/Neil_Yates,http://dbpedia.org/resource/Terumasa_Hino,http://dbpedia.org/resource/Ollie_Mitchell,http://dbpedia.org/resource/Gerard_Presencer,http://dbpedia.org/resource/Guy_Barker,http://dbpedia.org/resource/Papa_Celestin,http://dbpedia.org/resource/Clifford_Thornton,http://dbpedia.org/resource/Maynard_Ferguson,http://dbpedia.org/resource/Orbert_Davis,http://dbpedia.org/resource/Wingy_Manone,http://dbpedia.org/resource/Doc_Severinsen,http://dbpedia.org/resource/Willie_Mitchell_(musician),http://dbpedia.org/resource/Cleveland_Eaton,http://dbpedia.org/resource/Gerald_Wilson,http://dbpedia.org/resource/Lloyd_Hunter,http://dbpedia.org/resource/Mark_Masters_(musician),http://dbpedia.org/resource/Pacho_Galan,http://dbpedia.org/resource/Artie_Fields,http://dbpedia.org/resource/Hot_Lips_Page,http://dbpedia.org/resource/Wayne_Bergeron,"http://dbpedia.org/resource/Richard_Maltby,_Sr.",http://dbpedia.org/resource/Doc_Cheatham,http://dbpedia.org/resource/Ernest_%22Doc%22_Paulin,http://dbpedia.org/resource/Joe_Wilder,http://dbpedia.org/resource/Red_Perkins,http://dbpedia.org/resource/Pete_Brown_(jazz_musician),http://dbpedia.org/resource/Henry_Jerome,http://dbpedia.org/resource/Adam_Taubitz,http://dbpedia.org/resource/Ovie_Alston,http://dbpedia.org/resource/Sean_Jones_(trumpeter),http://dbpedia.org/resource/Jacobo_Rubalcaba,http://dbpedia.org/resource/Danny_Davis_(country_musician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15014,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Orangina> <http://dbpedia.org/ontology/product> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15014,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Orangina> <http://dbpedia.org/ontology/product> ?uri },,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
