"Questions","Who ","How ","In which ","What ","When ","Where ","Which "
"Give me all cosmonauts. ?","0","0","0","0","0","0","0"
"In which country does the Ganges start ?","0","0","1","0","0","0","0"
"Which German cities have more than 250000 inhabitants ?","0","0","0","0","0","0","1"
"Who was John F. Kennedy's vice president ?","1","0","0","0","0","0","0"
"Who is the mayor of Berlin ?","1","0","0","0","0","0","0"
"How many students does the Free University in Amsterdam have ?","0","1","0","0","0","0","0"
"What is the second highest mountain on Earth ?","0","0","0","1","0","0","0"
"Give me all professional skateboarders from Sweden. ?","0","0","0","0","0","0","0"
"Give me a list of all bandleaders that play trumpet. ?","0","0","0","0","0","0","0"
"Which countries have more than ten caves ?","0","0","0","0","0","0","1"
"Who produces Orangina ?","1","0","0","0","0","0","0"
"Who is the Formula 1 race driver with the most races ?","1","0","0","0","0","0","0"
"Who is the youngest player in the Premier League ?","1","0","0","0","0","0","0"
"Give me all members of Prodigy. ?","0","0","0","0","0","0","0"
"Does Breaking Bad have more episodes than Game of Thrones ?","0","0","0","0","0","0","0"
"What were the main discoveries of the Mars rover Curiosity ?","0","0","0","1","0","0","0"
"Give me all people that were born in Vienna and died in Berlin. ?","0","0","0","0","0","0","0"
"Is proinsulin a protein ?","0","0","0","0","0","0","0"
"How tall is Michael Jordan ?","0","1","0","0","0","0","0"
"What is the capital of Canada ?","0","0","0","1","0","0","0"
"How many languages are spoken in Turkmenistan ?","0","1","0","0","0","0","0"
"Give me all movies directed by Francis Ford Coppola. ?","0","0","0","0","0","0","0"
"Give me all actors starring in movies directed by William Shatner. ?","0","0","0","0","0","0","0"
"Are tree frogs a type of amphibian ?","0","0","0","0","0","0","0"
"How often did Jane Fonda marry ?","0","1","0","0","0","0","0"
"Give me all Australian nonprofit organizations. ?","0","0","0","0","0","0","0"
"In which military conflicts did Lawrence of Arabia participate ?","0","0","1","0","0","0","0"
"Who developed Minecraft ?","1","0","0","0","0","0","0"
"How many inhabitants does Maribor have ?","0","1","0","0","0","0","0"
"Give me all companies in Munich. ?","0","0","0","0","0","0","0"
"How tall is Claudia Schiffer ?","0","1","0","0","0","0","0"
