"ID","aylienNERagdistis","tagmeNEDlogs","DBpediaNERAgdistis3252","ambiverseNEDlogs","meaningcloudAgdistis","qanary_logs_DBpediaSpotlightNED","meaningCloudNEDnew","aylienNEDlogs","textrazorAgdistis","dandiNERAgdistisFINAL","dandilionNEDlogs","OntotextNEDlogs","babelfyAgdistis3000","ambiverseAgdistis","tagmeAgdistis","EntityClassifier_NER_Agdistis","newBabelfyNEDlogs","stanfordAgdistis","ontotextAgdistis"
"10000","1.0","1.0","1.0","","","1.0","","1.0","1.0","1.0","0.5","1.0","","","1.0","1.0","0.5","1.0","1.0"
"10001","0.6666666666666666","1.0","1.0","","1.0","1.0","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8","0.8","","","1.0","0.8","0.4","0.6666666666666666",""
"10002","1.0","1.0","1.0","","","1.0","1.0","1.0","1.0","0.6666666666666666","0.4","0.0","0.0","","1.0","0.5","0.0","","0.0"
"10003","1.0","1.0","0.6666666666666666","","1.0","0.6666666666666666","","1.0","0.0","1.0","1.0","0.6666666666666666","","","1.0","0.5","0.4","1.0","0.6666666666666666"
"10004","1.0","1.0","1.0","","","1.0","","1.0","1.0","1.0","0.6666666666666666","0.6666666666666666","","","1.0","1.0","0.0","1.0","1.0"
"10005","0.0","1.0","","","0.0","","","0.0","","","1.0","0.0","0.0","","","0.0","0.0","","0.0"
"10006","","0.6666666666666666","","","","0.0","","0.0","","","0.4","0.5","","","","","0.28571428571428575","",""
"10007","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.6666666666666666","1.0","1.0"
"10008","0.5","1.0","0.5","","0.0","1.0","","1.0","0.5","","","1.0","0.3333333333333333","","0.5","0.5","0.6666666666666666","0.5",""
"10009","1.0","","1.0","","","1.0","0.6666666666666666","1.0","1.0","1.0","0.0","","","","","1.0","0.0","1.0",""
"10010","0.0","1.0","0.0","","","1.0","","","","0.0","1.0","0.5","","","0.0","0.0","0.5","0.0","0.0"
"10011","","1.0","","","0.0","","","","","0.0","0.6666666666666666","0.0","","","","0.0","0.0","",""
"10012","","0.0","0.0","0.6666666666666666","0.0","0.0","","1.0","0.0","","","","","0.0","","0.0","0.0","",""
"10013","","","","","","","","0.8","","","","","","","","","0.0","",""
"10014","","","0.6666666666666666","","","1.0","0.0","1.0","","","0.8","0.6666666666666666","0.4","","","0.0","0.3333333333333333","","0.5"
"10015","","","0.0","","0.0","0.0","","1.0","0.0","","","0.0","0.0","","","0.0","0.0","","0.0"
"10016","1.0","1.0","1.0","0.6666666666666666","0.6666666666666666","1.0","0.6666666666666666","","1.0","1.0","1.0","1.0","0.5","0.0","1.0","0.6666666666666666","0.5","0.6666666666666666",""
"10017","0.4","1.0","1.0","0.0","0.4","1.0","0.4","1.0","","0.8","0.0","0.8","1.0","","1.0","0.3333333333333333","1.0","0.4","0.8"
"10018","1.0","1.0","1.0","","1.0","1.0","1.0","","1.0","1.0","0.6666666666666666","0.6666666666666666","1.0","","1.0","1.0","1.0","1.0","1.0"
"10019","0.8","1.0","1.0","","","1.0","0.0","0.6666666666666666","","1.0","0.0","0.0","","","1.0","0.0","0.6666666666666666","0.0","0.8"
"10020","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","","1.0","0.0","0.0","","0.0","0.5","","","0.0","","0.6666666666666666","0.8","0.0","0.6666666666666666"
"10021","","","","","","","","0.6666666666666666","","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10022","1.0","1.0","1.0","","0.0","1.0","","1.0","0.6666666666666666","0.5","0.5","0.6666666666666666","","0.0","1.0","0.5","0.33333333333333337","1.0","0.6666666666666666"
"10023","","1.0","","","","","","","","","1.0","0.0","","","","","","",""
"10024","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.0","","0.6666666666666666","","0.0","0.5","0.3333333333333333","0.28571428571428575","0.0","","","0.6666666666666666","0.3333333333333333","0.5","0.5","0.4"
"10025","","1.0","","","1.0","0.0","","","1.0","0.6666666666666666","0.5","0.6666666666666666","","","1.0","0.6666666666666666","0.33333333333333337","1.0","1.0"
"10026","0.6666666666666666","1.0","1.0","","","0.5","0.5","0.6666666666666666","1.0","0.6666666666666666","0.0","1.0","","","1.0","1.0","","0.6666666666666666","1.0"
"10027","0.5","1.0","0.5","","0.5","1.0","0.6666666666666666","","0.5","0.5","0.5","1.0","0.6666666666666666","","0.5","0.5","0.6666666666666666","0.5","0.5"
"10028","","1.0","","","","","","0.5","","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10029","0.0","","0.0","0.0","0.0","0.0","","0.6666666666666666","0.0","0.0","0.6666666666666666","","","0.0","","0.0","","0.0","0.0"
"10030","0.5","0.5","0.5","","0.5","0.5","","0.6666666666666666","","0.5","0.5","0.6666666666666666","","","0.5","0.5","0.3333333333333333","0.5","0.6666666666666666"
"10031","","0.6666666666666666","","","","0.0","0.0","0.6666666666666666","","","0.6666666666666666","0.0","","","","0.0","0.6666666666666666","","0.0"
"10032","0.0","1.0","1.0","0.0","","1.0","0.0","1.0","1.0","1.0","0.5","0.8","","0.0","1.0","1.0","0.4","0.6666666666666666","1.0"
"10033","1.0","","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","1.0","0.0","1.0","1.0"
"10034","","1.0","1.0","","","1.0","","1.0","","1.0","1.0","1.0","","","1.0","1.0","0.6666666666666666","","1.0"
"10035","0.0","1.0","0.0","","0.0","0.4","","","0.0","0.0","0.8","0.0","0.0","","","0.0","0.5","","0.0"
"10036","0.6666666666666666","0.5","0.6666666666666666","","0.0","0.6666666666666666","","0.0","0.5","0.5","0.8","0.5","0.5","","0.6666666666666666","0.3333333333333333","0.5","0.6666666666666666","0.4"
"10037","0.6666666666666666","1.0","0.6666666666666666","","0.5","0.6666666666666666","0.6666666666666666","1.0","1.0","1.0","1.0","1.0","","","1.0","1.0","0.6666666666666666","1.0","1.0"
"10038","0.6666666666666666","1.0","1.0","0.0","0.6666666666666666","1.0","","","1.0","1.0","1.0","0.8","0.5","0.0","1.0","1.0","0.4","1.0","1.0"
"10039","","1.0","","","","1.0","","","","","1.0","","","","","","1.0","",""
"10040","1.0","1.0","1.0","","","1.0","1.0","","1.0","1.0","1.0","","","","1.0","1.0","0.5","1.0","0.6666666666666666"
"10041","1.0","1.0","1.0","","","0.6666666666666666","","0.0","1.0","1.0","0.6666666666666666","0.5","","","1.0","0.0","0.0","0.0","0.6666666666666666"
"10042","1.0","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","0.0","0.5","1.0","","","1.0","0.6666666666666666","1.0","1.0"
