"ID","aylienNERagdistis","tagmeNEDlogs","DBpediaNERAgdistis3252","ambiverseNEDlogs","meaningcloudAgdistis","qanary_logs_DBpediaSpotlightNED","meaningCloudNEDnew","aylienNEDlogs","textrazorAgdistis","dandiNERAgdistisFINAL","dandilionNEDlogs","OntotextNEDlogs","babelfyAgdistis3000","ambiverseAgdistis","tagmeAgdistis","EntityClassifier_NER_Agdistis","newBabelfyNEDlogs","stanfordAgdistis","ontotextAgdistis"
"10000","1.0","1.0","1.0","","","1.0","","1.0","1.0","1.0","0.3333333333333333","1.0","","","1.0","1.0","0.3333333333333333","1.0","1.0"
"10001","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","","","1.0","0.6666666666666666","0.3333333333333333","1.0",""
"10002","1.0","1.0","1.0","","","1.0","1.0","1.0","1.0","0.5","0.25","0.0","0.0","","1.0","0.3333333333333333","0.0","","0.0"
"10003","1.0","1.0","0.5","","1.0","0.5","","1.0","0.0","1.0","1.0","0.5","","","1.0","0.3333333333333333","0.25","1.0","0.5"
"10004","1.0","1.0","1.0","","","1.0","","1.0","1.0","1.0","0.5","0.5","","","1.0","1.0","0.0","1.0","1.0"
"10005","0.0","1.0","","","0.0","","","0.0","","","1.0","0.0","0.0","","","0.0","0.0","","0.0"
"10006","","1.0","","","","0.0","","0.0","","","0.3333333333333333","0.5","","","","","0.2","",""
"10007","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.5","1.0","1.0"
"10008","0.5","1.0","0.5","","0.0","1.0","","1.0","0.5","","","1.0","0.25","","0.5","0.5","0.5","0.5",""
"10009","1.0","","1.0","","","1.0","0.5","1.0","1.0","1.0","0.0","","","","","1.0","0.0","1.0",""
"10010","0.0","1.0","0.0","","","1.0","","","","0.0","1.0","0.3333333333333333","","","0.0","0.0","0.3333333333333333","0.0","0.0"
"10011","","1.0","","","0.0","","","","","0.0","0.5","0.0","","","","0.0","0.0","",""
"10012","","0.0","0.0","1.0","0.0","0.0","","1.0","0.0","","","","","0.0","","0.0","0.0","",""
"10013","","","","","","","","0.6666666666666666","","","","","","","","","0.0","",""
"10014","","","1.0","","","1.0","0.0","1.0","","","0.6666666666666666","1.0","0.3333333333333333","","","0.0","0.25","","0.5"
"10015","","","0.0","","0.0","0.0","","1.0","0.0","","","0.0","0.0","","","0.0","0.0","","0.0"
"10016","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","0.5","0.0","1.0","1.0","0.5","1.0",""
"10017","0.3333333333333333","1.0","1.0","0.0","0.3333333333333333","1.0","0.3333333333333333","1.0","","0.6666666666666666","0.0","0.6666666666666666","1.0","","1.0","0.25","1.0","0.3333333333333333","0.6666666666666666"
"10018","1.0","1.0","1.0","","1.0","1.0","1.0","","1.0","1.0","0.5","0.5","1.0","","1.0","1.0","1.0","1.0","1.0"
"10019","0.6666666666666666","1.0","1.0","","","1.0","0.0","1.0","","1.0","0.0","0.0","","","1.0","0.0","0.5","0.0","0.6666666666666666"
"10020","1.0","1.0","1.0","1.0","","1.0","0.0","0.0","","0.0","0.5","","","0.0","","1.0","0.6666666666666666","0.0","1.0"
"10021","","","","","","","","1.0","","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10022","1.0","1.0","1.0","","0.0","1.0","","1.0","0.5","0.3333333333333333","0.3333333333333333","0.5","","0.0","1.0","0.3333333333333333","0.2","1.0","0.5"
"10023","","1.0","","","","","","","","","1.0","0.0","","","","","","",""
"10024","1.0","1.0","1.0","0.0","","1.0","","0.0","0.5","0.25","0.2","0.0","","","1.0","0.25","0.5","0.5","0.3333333333333333"
"10025","","1.0","","","1.0","0.0","","","1.0","0.5","0.3333333333333333","0.5","","","1.0","0.5","0.2","1.0","1.0"
"10026","1.0","1.0","1.0","","","0.5","0.5","1.0","1.0","1.0","0.0","1.0","","","1.0","1.0","","1.0","1.0"
"10027","0.5","1.0","0.5","","0.5","1.0","1.0","","0.5","0.5","0.5","1.0","1.0","","0.5","0.5","1.0","0.5","0.5"
"10028","","1.0","","","","","","0.5","","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10029","0.0","","0.0","0.0","0.0","0.0","","1.0","0.0","0.0","0.5","","","0.0","","0.0","","0.0","0.0"
"10030","0.5","0.5","0.5","","0.5","0.5","","1.0","","0.5","0.5","1.0","","","0.5","0.5","0.25","0.5","1.0"
"10031","","1.0","","","","0.0","0.0","1.0","","","1.0","0.0","","","","0.0","1.0","","0.0"
"10032","0.0","1.0","1.0","0.0","","1.0","0.0","1.0","1.0","1.0","0.5","0.6666666666666666","","0.0","1.0","1.0","0.3333333333333333","1.0","1.0"
"10033","1.0","","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","","1.0","0.0","1.0","1.0"
"10034","","1.0","1.0","","","1.0","","1.0","","1.0","1.0","1.0","","","1.0","1.0","0.5","","1.0"
"10035","0.0","1.0","0.0","","0.0","0.3333333333333333","","","0.0","0.0","0.6666666666666666","0.0","0.0","","","0.0","0.5","","0.0"
"10036","1.0","0.5","1.0","","0.0","1.0","","0.0","0.5","0.5","0.6666666666666666","0.5","0.5","","1.0","0.25","0.5","1.0","0.3333333333333333"
"10037","1.0","1.0","1.0","","0.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","1.0","1.0","1.0","1.0","1.0"
"10038","1.0","1.0","1.0","0.0","1.0","1.0","","","1.0","1.0","1.0","0.6666666666666666","0.5","0.0","1.0","1.0","0.3333333333333333","1.0","1.0"
"10039","","1.0","","","","1.0","","","","","1.0","","","","","","1.0","",""
"10040","1.0","1.0","1.0","","","1.0","1.0","","1.0","1.0","1.0","","","","1.0","1.0","0.3333333333333333","1.0","0.5"
"10041","1.0","1.0","1.0","","","0.5","","0.0","1.0","1.0","0.5","0.3333333333333333","","","1.0","0.0","0.0","0.0","0.5"
"10042","1.0","","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","0.0","0.3333333333333333","1.0","","","1.0","0.5","1.0","1.0"
"10043","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.6666666666666666","1.0","1.0","0.0","0.0","1.0","0.0","","1.0","0.5","1.0","1.0"
"10044","","1.0","1.0","","","1.0","0.25","0.0","1.0","0.0","0.0","1.0","","","1.0","1.0","0.6666666666666666","1.0","1.0"
"10045","0.0","0.0","0.0","","","0.5","","","","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0",""
"10046","1.0","0.0","1.0","","","1.0","","1.0","1.0","1.0","1.0","","0.0","","1.0","1.0","0.0","1.0","1.0"
"10047","","1.0","","0.0","","","","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","","0.0","1.0",""
"10048","","1.0","1.0","0.0","","1.0","","","1.0","1.0","1.0","","","","1.0","1.0","","1.0","1.0"
"10049","","1.0","","0.5","","","","","","1.0","1.0","1.0","","0.0","1.0","1.0","0.5","1.0","1.0"
"10050","0.0","","0.0","","","0.0","","1.0","","0.0","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10051","1.0","0.5","1.0","1.0","1.0","1.0","","","1.0","1.0","1.0","0.5","0.5","","1.0","1.0","0.5","1.0","1.0"
"10052","0.6666666666666666","1.0","1.0","0.0","1.0","1.0","0.0","0.0","","1.0","0.0","0.0","","","1.0","0.5","0.6666666666666666","0.0","0.5"
"10053","0.0","1.0","0.0","","","0.0","0.0","","0.0","","0.0","","","","","0.0","0.5","0.0","1.0"
"10054","","0.0","","","","0.0","","","","","0.0","0.0","0.0","","","0.0","0.0","","0.0"
"10055","","0.5","","","0.0","1.0","","","","0.0","0.3333333333333333","0.0","","","","0.0","0.0","","0.0"
"10056","0.6666666666666666","1.0","1.0","0.0","","1.0","1.0","1.0","","1.0","0.0","0.6666666666666666","1.0","","1.0","0.6666666666666666","0.6666666666666666","1.0","0.6666666666666666"
"10057","","","","","","0.0","","0.0","","0.0","0.3333333333333333","0.0","","","","0.0","0.0","",""
"10058","","","1.0","","","1.0","","","0.0","","","","","","","1.0","","","0.0"
"10059","","","","","","","","1.0","","","0.0","","","","","","","",""
"10060","1.0","1.0","1.0","0.5","1.0","1.0","","1.0","1.0","1.0","1.0","0.5","","0.0","1.0","0.5","0.5","0.5","1.0"
"10061","","","0.0","","","0.0","","1.0","0.0","0.0","0.0","0.0","0.0","","","0.0","0.0","",""
"10062","0.0","1.0","0.0","","1.0","0.0","","","1.0","1.0","0.5","0.5","","","1.0","1.0","0.0","1.0","1.0"
"10063","","1.0","","0.0","0.0","0.0","","","1.0","","","0.0","","0.0","1.0","1.0","0.5","1.0","1.0"
"10064","","","0.0","","","1.0","","","","0.0","1.0","","","","","0.0","0.5","0.0","0.0"
"10065","","1.0","","","","","","","0.5","0.5","0.3333333333333333","1.0","","","0.0","0.5","","0.0","0.5"
"10066","","1.0","","","","0.5","","1.0","","","1.0","1.0","0.0","","","","0.5","",""
"10067","1.0","1.0","1.0","1.0","0.5","1.0","","0.5","1.0","0.5","1.0","1.0","","0.0","0.5","0.5","0.25","1.0","0.5"
"10068","","1.0","","","","","","1.0","","","0.5","0.0","","","","","","",""
"10069","0.0","0.0","0.0","","0.0","0.0","0.0","1.0","0.0","","0.0","0.0","","","","0.0","0.0","0.0","0.0"
"10070","1.0","1.0","1.0","1.0","","1.0","0.5","0.5","1.0","1.0","1.0","0.6666666666666666","","1.0","1.0","1.0","0.3333333333333333","1.0","1.0"
"10071","","1.0","","","","","","1.0","1.0","1.0","1.0","0.0","","","1.0","1.0","0.3333333333333333","1.0","1.0"
"10072","","1.0","","","","1.0","","1.0","","","1.0","","","","","0.0","1.0","",""
"10073","1.0","1.0","1.0","1.0","","1.0","1.0","1.0","1.0","1.0","1.0","0.0","","","","1.0","","1.0","1.0"
"10074","1.0","1.0","1.0","","","0.5","","","1.0","1.0","0.5","0.0","1.0","","1.0","1.0","0.5","1.0",""
"10075","1.0","1.0","1.0","","0.0","1.0","0.0","0.5","1.0","1.0","0.5","0.3333333333333333","1.0","","1.0","1.0","0.0","1.0",""
"10076","","","","","","","","0.0","","","0.5","","","","","","","",""
"10077","","","","","","","","0.0","0.0","0.0","0.25","0.0","0.0","","","0.0","0.0","","0.0"
"10078","","1.0","","0.0","1.0","0.0","","1.0","1.0","0.6666666666666666","0.6666666666666666","1.0","0.5","","1.0","0.6666666666666666","0.5","1.0","0.6666666666666666"
"10079","","1.0","","","1.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","","","1.0","0.5","","1.0","0.5"
"10080","0.0","","0.0","","","1.0","","1.0","0.0","0.0","0.5","0.0","","","","0.0","","0.0","0.0"
"10081","0.5","1.0","0.6666666666666666","0.0","0.0","0.6666666666666666","0.6666666666666666","","","0.4","0.2","0.6","","","0.6666666666666666","0.25","0.2857142857142857","0.5","0.5"
"10082","","1.0","","","","1.0","1.0","1.0","","","0.5","0.0","","","","","","",""
"10083","1.0","","1.0","0.0","0.0","1.0","1.0","1.0","0.5","1.0","1.0","0.3333333333333333","0.0","0.0","","0.3333333333333333","0.0","1.0","0.0"
"10084","1.0","1.0","1.0","","0.5","0.5","0.5","1.0","1.0","1.0","1.0","1.0","","","1.0","1.0","0.6666666666666666","1.0","1.0"
"10085","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.5","0.5","1.0","0.0","1.0","","0.0","1.0","1.0","0.5","1.0","0.5"
"10086","1.0","1.0","1.0","","","1.0","","0.0","1.0","1.0","0.5","0.3333333333333333","","","1.0","1.0","0.25","1.0","1.0"
"10087","","1.0","","","","1.0","","1.0","","","1.0","0.5","","","","","0.3333333333333333","",""
