QuestionID;QuestionLength;TripleSize;ResourceTotal;ClassTotal;RelationTotal;_DT ;_IN ;_JJ ;_JJR ;_JJS ;_NN ;_NNS ;_NNP ;_NNPS ;_PRP ;_RB ;_RBR ;_RBS ;_UH ;_VB ;_VBD ;_VBG ;_VBN ;_VBP ;_VBZ ;_WDT ;_WP ;_WP$ ;_WRB ;BooleanAns;NumberAnswer;ListAnswer;RecallDBpedia
10000;8;3;1;1;1;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10001;9;3;2;0;1;1;2;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
10002;10;3;1;0;2;3;2;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10003;7;2;1;0;1;1;1;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10004;8;3;1;0;2;0;1;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1
10005;8;3;1;0;2;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;
10006;18;4;2;0;2;1;0;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;1;0
10007;6;3;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1
10008;9;3;2;0;1;1;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
10009;11;3;1;0;2;0;2;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;1
10010;11;4;1;1;2;1;0;2;0;0;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;1;1
10011;8;2;1;0;1;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;
10012;7;3;2;0;0;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
10013;7;2;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;
10014;10;3;2;0;1;1;2;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
10015;12;3;1;0;2;1;2;1;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
10016;8;3;2;0;1;1;1;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
10017;9;4;1;1;1;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10018;10;3;1;1;1;0;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1
10019;9;2;1;0;1;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1
10020;8;3;2;0;1;1;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
10021;9;3;1;0;2;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;
10022;12;3;1;1;1;1;2;0;0;0;3;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1
10023;6;2;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;
