QuestionID;QuestionLength;_DT ;_IN ;_JJ ;_JJR ;_JJS ;_NN ;_NNS ;_NNP ;_NNPS ;_PRP ;_RB ;_RBR ;_RBS ;_UH ;_VB ;_VBD ;_VBG ;_VBN ;_VBP ;_VBZ ;_WDT ;_WP ;_WP$ ;_WRB ;BooleanAns;NumberAnswer;ListAnswer;RecallDBpedia
10000;8;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10001;9;1;2;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
10002;10;3;2;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10003;7;1;1;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10004;8;0;1;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1
10005;8;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;
10006;18;1;0;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;0;0;1;0
10007;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1
10008;9;1;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
10009;11;0;2;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;1
10010;11;1;0;2;0;0;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;1;1
10011;8;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;
10012;7;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
10013;7;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;
10014;10;1;2;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
10015;12;1;2;1;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0
10016;8;1;1;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
10017;9;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10018;10;0;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;1
10019;9;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1
10020;8;1;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
10021;9;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;
10022;12;1;2;0;0;0;3;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1
10023;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;
10024;13;1;3;0;0;0;3;0;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;1;0.5
10025;12;1;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
10026;5;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0.5
10027;6;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1
10028;16;4;2;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;
10029;7;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
10030;12;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0.5
10031;12;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
10032;13;2;0;0;0;0;1;0;4;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1
10033;7;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1
10034;6;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1
10035;16;3;3;2;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0.5
10036;13;2;3;0;0;0;1;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.5
10037;6;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0.5
10038;11;0;1;0;0;0;1;0;5;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1
10039;12;1;2;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1
10040;14;0;2;1;0;0;2;1;2;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;1;0;1
10041;7;1;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
10042;12;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;0;1;0;1
10043;14;0;2;2;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1
10044;7;0;1;0;0;0;1;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0.5
10045;16;2;2;2;0;0;3;1;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
10046;6;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1
10047;16;0;2;1;0;0;0;2;5;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;2;0;1;0;
10048;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1
10049;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;
10050;10;1;1;1;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0
10051;18;3;3;1;0;0;3;1;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1
10052;14;2;2;1;0;0;1;2;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1
10053;7;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0
10054;13;2;2;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
10055;12;1;2;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;1
10056;16;3;1;0;0;0;3;0;3;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1
10057;10;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
10058;10;2;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
10059;12;0;1;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;
10060;10;1;1;0;0;0;2;0;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1
10061;15;3;2;1;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0
10062;7;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
