QuestionID;QuestionLength;_DT ;_IN ;_JJ ;_JJR ;_JJS ;_NN ;_NNS ;_NNP ;_NNPS ;_PRP ;_RB ;_RBR ;_RBS ;_UH ;_VB ;_VBD ;_VBG ;_VBN ;_VBP ;_VBZ ;_WDT ;_WP ;_WP$ ;_WRB ;ResourceTotal
10000;8;0;1;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1
10001;9;1;2;1;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
10002;10;3;2;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
10003;7;1;1;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
10004;8;0;1;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
10005;8;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1
10006;18;1;0;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;0;0;2
10007;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1
10008;9;1;1;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
10009;11;0;2;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1
10010;11;1;0;2;0;0;1;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;1
10011;8;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
10012;7;0;1;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
10013;7;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1
10014;10;1;2;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
10015;12;1;2;1;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1
10016;8;1;1;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
10017;9;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1
10018;10;0;2;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;1
10019;9;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1
10020;8;1;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
10021;9;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1
10022;12;1;2;0;0;0;3;1;2;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1
10023;6;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1
10024;13;1;3;0;0;0;3;0;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2
10025;12;1;2;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
10026;5;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
10027;6;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
10028;16;4;2;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;1;0;0;1
10029;7;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
10030;12;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;2
10031;12;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2
10032;13;2;0;0;0;0;1;0;4;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;2
10033;7;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1
10034;6;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
10035;16;3;3;2;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
10036;13;2;3;0;0;0;1;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
10037;6;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
10038;11;0;1;0;0;0;1;0;5;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;2
10039;12;1;2;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1
10040;14;0;2;1;0;0;2;1;2;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;1
10041;7;1;1;1;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
10042;12;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;1;1
10043;14;0;2;2;0;0;1;2;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1
